overall_rank,pos_rank,name,position,team,tier,value_tier,ppg,season_value,vorp,ecr,composite_adp,room_adp,gap,gap_z,p_avail_next,vona,flags,depth_rank,e_games
1,1,Jahmyr Gibbs,RB,DET,1,1,18.58,288.3,168.1,2.43,1.57,1.0,0.0,0.0,0.0,54.37,new_play_caller,1,14.6
2,2,Bijan Robinson,RB,ATL,1,2,17.60,273.9,153.8,4.19,2.2,2.0,0.0,0.0,0.0,40.05,new_play_caller|qb_uncertain_team,1,14.6
3,1,Ja'Marr Chase,WR,CIN,1,1,16.76,264.1,139.8,1.49,3.53,3.0,0.0,0.0,0.0,36.68,"",1,14.8
4,2,Puka Nacua,WR,LA,1,1,16.63,262.1,137.9,3.43,4.67,4.0,0.0,0.0,0.0,34.72,"",1,14.76
5,3,Jonathan Taylor,RB,IND,2,3,15.80,247.6,127.4,11.82,5.73,6.0,1.0,0.588,0.0093,13.72,qb_uncertain_team,1,14.33
6,4,James Cook,RB,BUF,2,4,15.45,242.6,122.4,14.97,9.3,9.0,3.0,1.667,0.2893,8.68,"",1,14.6
7,5,Christian McCaffrey,RB,SF,2,5,15.01,236.2,116.0,9.58,5.67,5.0,-2.0,-1.25,0.0009,2.27,injury_prone,1,13.93
8,3,Amon-Ra St. Brown,WR,DET,1,2,15.02,238.4,114.1,5.4,7.6,8.0,0.0,0.0,0.1056,10.93,new_play_caller,1,14.8
9,4,CeeDee Lamb,WR,DAL,1,2,14.94,237.2,112.9,9.03,11.6,10.0,1.0,0.455,0.5,9.79,"",1,14.8
10,6,De'Von Achane,RB,MIA,3,6,14.61,230.3,110.1,21.49,13.27,13.0,3.0,1.2,0.8849,-3.64,new_play_caller,1,14.6
11,7,Derrick Henry,RB,BAL,4,6,14.56,229.6,109.4,37.64,13.7,14.0,3.0,2.0,0.9962,-4.32,new_play_caller,1,14.6
12,8,Saquon Barkley,RB,PHI,3,7,13.95,220.6,100.4,23.6,12.8,11.0,-1.0,-0.312,0.6227,-13.29,new_play_caller,1,14.6
13,9,Chase Brown,RB,CIN,2,7,13.77,218.0,97.8,17.05,15.57,15.0,2.0,0.769,0.9728,-15.86,injury_prone,1,14.52
14,5,Jaxon Smith-Njigba,WR,SEA,1,3,13.65,218.0,93.7,4.61,6.7,7.0,-7.0,-5.833,0.0062,-9.4,new_play_caller,1,14.8
15,6,Nico Collins,WR,HOU,2,4,13.44,215.0,90.8,16.0,21.67,20.0,5.0,2.083,1.0,-12.38,injury_prone,1,14.56
16,10,Kenneth Walker III,RB,KC,3,8,13.17,209.3,89.1,24.95,18.1,16.0,0.0,0.0,0.9522,-24.59,injury_prone|qb_uncertain_team,1,14.52
17,11,Omarion Hampton,RB,LAC,3,8,13.06,207.6,87.4,25.4,18.63,17.0,0.0,0.0,0.9561,-26.27,new_play_caller,1,12.95
18,7,Drake London,WR,ATL,2,5,12.84,206.2,81.9,13.17,18.7,,,,1.0,-21.26,new_play_caller|qb_uncertain_team,1,14.8
19,12,Kyren Williams,RB,LA,4,9,13.00,201.4,81.3,42.04,26.23,23.0,5.0,1.429,0.9999,-32.45,"",1,13.7
20,8,George Pickens,WR,DAL,2,5,12.99,204.9,80.6,20.43,22.33,21.0,2.0,0.741,1.0,-22.53,injury_prone,2,14.2
21,9,Justin Jefferson,WR,MIN,1,5,12.74,204.6,80.3,9.17,12.9,12.0,-8.0,-3.077,0.7791,-22.79,"",1,14.76
22,13,Javonte Williams,RB,DAL,4,10,12.66,196.8,76.6,43.43,31.67,,,,1.0,-37.14,"",1,13.7
23,14,Ashton Jeanty,RB,LV,3,10,12.66,196.8,76.6,28.95,18.87,18.0,-3.0,-0.833,0.9869,-37.14,new_play_caller|qb_uncertain_team,1,13.7
24,10,A.J. Brown,WR,NE,2,6,12.14,195.7,71.5,13.73,20.3,19.0,-3.0,-1.154,0.9997,-31.68,injury_prone,1,14.8
25,1,Josh Allen,QB,BUF,1,1,23.54,390.9,68.8,25.77,23.87,22.0,-1.0,-0.128,0.938,1.59,"",1,15.0
26,15,Bucky Irving,RB,TB,5,11,12.09,188.9,68.7,56.3,49.33,41.0,17.0,3.269,1.0,-44.97,injury_prone|new_play_caller|value,1,13.64
27,11,Rashee Rice,WR,KC,3,7,12.04,191.4,67.1,27.1,27.57,24.0,-1.0,-0.5,1.0,-36.03,injury_prone|qb_uncertain_team,1,13.02
28,12,Malik Nabers,WR,NYG,2,7,12.04,191.4,67.1,24.25,28.3,26.0,0.0,0.0,1.0,-36.04,injury_prone|structural_injury_return|new_play_caller,1,12.82
